,Industry,Job Title,Rating,Revenue,Sector,Size,Type of ownership,Hourly,Employer_Provided_Salary,min_salary,max_salary,average_salary,Company_Name,job_city,headquarter_city,same_city,age,python_req,rstudio_req,spark_req,aws_req,excel_req,tableau_req,machinelearning_req
0,Insurance Carriers,Senior Data Scientist,3.3,$10+ billion (USD),Insurance,10000+ employees,Subsidiary or Business Segment,0,0,86,137,111.5,GEICO,Chevy Chase,Washington,0,84,1,0,1,1,1,0,1
1,Consulting,Data Scientist Architect,4.2,Unknown / Non-Applicable,Business Services,201 to 500 employees,Company - Private,0,0,86,137,111.5,SullivanCotter,Minneapolis,Chicago,0,28,1,0,0,0,1,1,1
2,-1,Scientist: Mammalian Cell Line Development- 3+ years required,4.0,Less than $1 million (USD),-1,1 to 50 employees,Company - Private,0,0,86,137,111.5,Celltheon,Union City,Union City,1,-1,0,0,0,0,1,0,0
3,Architectural & Engineering Services,Scientist,3.6,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,86,137,111.5,KCI Technologies,Sparks,Glencoe,0,32,0,0,0,0,0,0,0
4,Lending,Senior Data Scientist,4.1,Unknown / Non-Applicable,Finance,51 to 200 employees,Company - Private,0,0,86,137,111.5,Octane,New York,New York,1,6,1,0,0,1,1,0,1
5,Enterprise Software & Network Solutions,Data Analyst,3.2,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,86,137,111.5,TrueAccord,Lenexa,San Francisco,0,7,1,0,0,0,0,1,1
6,Financial Transaction Processing,Data Engineer,3.9,$100 to $500 million (USD),Finance,201 to 500 employees,Company - Private,0,0,86,137,111.5,Airlines Reporting Corporation,Arlington,Arlington,1,36,1,0,0,1,0,1,0
7,Lending,"Senior Data Engineer (Santa Clara, CA)",3.9,Unknown / Non-Applicable,Finance,51 to 200 employees,Subsidiary or Business Segment,0,0,86,137,111.5,Earnest,Santa Clara,San Francisco,0,7,1,0,1,0,0,1,1
8,Enterprise Software & Network Solutions,"Data Scientist (Palo Alto, CA or Remote US)",4.2,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,86,137,111.5,Eversight,Remote,Palo Alto,0,7,1,0,0,0,0,0,1
9,Energy,"Data Scientist - Statistics, Early Career",3.8,$500 million to $1 billion (USD),"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government,0,0,86,137,111.5,Pacific Northwest National Laboratory,Seattle,Richland,0,55,0,0,0,0,1,0,1
10,Construction,Data Engineer,4.4,$500 million to $1 billion (USD),"Construction, Repair & Maintenance",501 to 1000 employees,Subsidiary or Business Segment,0,0,86,137,111.5,SpawGlass,Houston,Houston,1,67,1,0,0,0,1,0,0
11,Biotech & Pharmaceuticals,Associate Scientist,3.2,Less than $1 million (USD),Biotech & Pharmaceuticals,51 to 200 employees,Company - Public,0,0,86,137,111.5,Adverum,Redwood City,Redwood City,1,4,0,0,0,0,1,0,0
12,Social Assistance,Psychometrics and Quantitative Research Consultants,2.8,$10 to $25 million (USD),Non-Profit,51 to 200 employees,Company - Private,0,0,86,137,111.5,Center for Applied Linguistics,Washington,Washington,1,-1,0,0,0,0,0,0,0
13,Logistics & Supply Chain,Data Science Manager,3.5,Unknown / Non-Applicable,Transportation & Logistics,1001 to 5000 employees,Company - Private,0,0,86,137,111.5,CGB Enterprises,New Orleans,Covington,0,51,1,0,0,0,1,1,0
14,Financial Transaction Processing,Data Engineer,4.3,Unknown / Non-Applicable,Finance,201 to 500 employees,Company - Private,0,0,86,137,111.5,TBS Factoring Service,Oklahoma City,Oklahoma City,1,52,0,0,0,0,1,0,1
16,Research & Development,Data Scientist (Polygraph Clearance),4.2,$1 to $2 billion (USD),Business Services,5001 to 10000 employees,Company - Public,0,0,86,137,111.5,ManTech,Chantilly,Herndon,0,52,0,0,0,0,0,0,1
17,Architectural & Engineering Services,Jr Data Scientist-D&I,3.8,$10+ billion (USD),Business Services,10000+ employees,Company - Private,0,0,86,137,111.5,Bechtel,Reston,Reston,1,122,1,0,1,1,1,0,1
18,Telecommunications Services,Data Scientist/Machine Learning,3.8,$2 to $5 billion (USD),Telecommunications,5001 to 10000 employees,Company - Public,0,0,86,137,111.5,Juniper Networks,Cupertino,Sunnyvale,0,24,1,0,1,1,1,0,1
19,Sports & Recreation,"Director, Data Solutions Architect",3.9,Unknown / Non-Applicable,"Arts, Entertainment & Recreation",1001 to 5000 employees,Company - Private,0,0,86,137,111.5,NFL,New York,New York,1,100,1,0,0,1,0,0,1
20,Computer Hardware & Software,Data Scientist,3.2,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Private,0,0,86,137,111.5,NAVEX Global,Lake Oswego,Lake Oswego,1,8,1,0,1,0,0,1,1
21,Aerospace & Defense,Data Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,86,137,111.5,Northrop Grumman,Hill AFB,Falls Church,0,81,1,0,0,0,0,0,1
22,Federal Agencies,Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,86,137,111.5,MITRE,McLean,Bedford,0,62,1,0,0,0,1,1,1
23,Biotech & Pharmaceuticals,Data Scientist,3.9,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,0,0,86,137,111.5,MMIT,Yardley,Yardley,1,26,0,0,0,0,1,1,1
25,Insurance Carriers,Senior Research Statistician- Data Scientist,4.8,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,86,137,111.5,Acuity Insurance,Sheboygan,Sheboygan,1,95,0,0,0,0,0,0,0
26,Consulting,Data Scientist BSLEF8,4.4,Unknown / Non-Applicable,Business Services,501 to 1000 employees,Company - Private,0,0,86,137,111.5,E3 Federal Solutions,Alexandria,McLean,0,16,1,0,1,0,0,1,1
27,Advertising & Marketing,Data Scientist,3.0,Unknown / Non-Applicable,Business Services,51 to 200 employees,Company - Private,0,0,86,137,111.5,Affinity Solutions,New York,New York,1,22,1,0,0,0,1,0,1
28,Insurance Carriers,Population Health Data Analyst,2.6,Less than $1 million (USD),Insurance,501 to 1000 employees,Company - Private,0,0,86,137,111.5,Blue Cross Blue Shield of North Dakota,Fargo,Fargo,1,80,0,0,0,0,0,0,0
29,Video Games,Data Scientist (Engineering),4.2,$500 million to $1 billion (USD),Media,1001 to 5000 employees,Company - Public,0,0,86,137,111.5,Zynga,Austin,San Francisco,0,13,1,0,1,1,0,0,1
30,Lending,Senior Data Scientist,4.1,Unknown / Non-Applicable,Finance,51 to 200 employees,Company - Private,0,0,169,266,217.5,Octane,New York,New York,1,6,1,0,0,1,1,0,1
31,Enterprise Software & Network Solutions,"Data Scientist (Palo Alto, CA or Remote US)",4.2,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,169,266,217.5,Eversight,Remote,Palo Alto,0,7,1,0,0,0,0,0,1
32,Computer Hardware & Software,Senior Data Scientist,3.8,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,169,266,217.5,Intercom,San Francisco,San Francisco,1,9,1,0,0,0,1,0,0
33,Research & Development,"VP, Data Science",3.9,Unknown / Non-Applicable,Business Services,51 to 200 employees,Company - Private,0,0,169,266,217.5,7Park Data,New York,New York,1,8,1,0,1,0,1,0,1
34,Federal Agencies,Cleared Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,169,266,217.5,MITRE,McLean,Bedford,0,62,1,0,0,1,1,1,1
35,IT Services,Data Scientist,3.7,$25 to $50 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,169,266,217.5,Powertek,Washington,Rockville,0,19,1,0,0,1,0,0,1
36,Health Care Services & Hospitals,Data Scientist,3.6,Unknown / Non-Applicable,Health Care,201 to 500 employees,Hospital,0,0,169,266,217.5,VA Boston Healthcare System,Boston,Boston,1,-1,1,0,0,0,0,0,1
37,Investment Banking & Asset Management,Machine Learning Engineer,3.8,$100 to $500 million (USD),Finance,1001 to 5000 employees,Nonprofit Organization,0,0,169,266,217.5,America First Credit Union,Ogden,Ogden,1,81,1,0,0,0,0,1,1
38,Insurance Carriers,Data Scientist,2.9,Unknown / Non-Applicable,Insurance,201 to 500 employees,Company - Private,0,0,169,266,217.5,IFG Companies,New York,Hartford,0,35,1,0,0,0,0,0,1
39,Biotech & Pharmaceuticals,Data Scientist (Data Analytics Specialist),4.0,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Subsidiary or Business Segment,0,0,169,266,217.5,Genentech,South San Francisco,South San Francisco,1,44,0,0,0,0,1,0,1
40,Enterprise Software & Network Solutions,Data Scientist Intern,4.8,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,169,266,217.5,First Orion,North Little Rock,North Little Rock,1,12,1,0,1,0,0,0,1
41,Enterprise Software & Network Solutions,Data Scientist,4.2,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,169,266,217.5,Netskope,Santa Clara,Santa Clara,1,8,1,0,1,0,1,0,1
42,Internet,People Data Science and Analytics Lead,4.0,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,169,266,217.5,Coinbase,Remote,San Francisco,0,8,0,0,0,1,1,1,1
43,Health Care Services & Hospitals,Data Analyst - Full Time,3.9,Unknown / Non-Applicable,Health Care,501 to 1000 employees,Hospital,0,0,169,266,217.5,Carson Valley Medical Center,Gardnerville,Gardnerville,1,27,0,0,0,0,0,0,0
44,Computer Hardware & Software,Data Scientist / Applied Mathematician,4.5,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,169,266,217.5,"Fullpower Technologies, Inc.",Santa Cruz,Santa Cruz,1,17,1,0,0,1,0,0,1
45,Enterprise Software & Network Solutions,Data Scientist,3.8,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,169,266,217.5,XSELL Technologies,Chicago,Chicago,1,6,1,0,0,0,0,0,1
46,Staffing & Outsourcing,Data Engineer,3.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,169,266,217.5,Group O,San Antonio,Milan,0,46,1,0,1,1,0,0,0
47,Health Care Services & Hospitals,Data Analytics Engineer,3.5,$100 to $500 million (USD),Health Care,5001 to 10000 employees,Nonprofit Organization,0,0,169,266,217.5,Summa Health System,Akron,Akron,1,94,0,0,0,1,1,1,0
48,Computer Hardware & Software,"Senior Data Scientist, Growth",4.2,$50 to $100 million (USD),Information Technology,201 to 500 employees,Company - Private,0,0,169,266,217.5,Evernote,Remote,Redwood City,0,12,0,0,0,0,0,0,1
49,Enterprise Software & Network Solutions,Data Scientist,3.7,$5 to $10 million (USD),Information Technology,10000+ employees,Company - Public,0,0,169,266,217.5,SAIC,Chantilly,Reston,0,7,1,0,0,0,0,0,0
50,Banks & Credit Unions,Diversity and Inclusion Data Analyst,3.8,$1 to $2 billion (USD),Finance,201 to 500 employees,Company - Private,0,0,169,266,217.5,FHLBank Pittsburgh,Pittsburgh,Pittsburgh,1,88,0,0,0,1,0,1,0
51,Biotech & Pharmaceuticals,Data Scientist - Machine Learning,2.5,$25 to $50 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,169,266,217.5,CareDx,Brisbane,South San Francisco,0,22,1,0,1,0,1,0,1
52,Internet,Data Engineer,4.1,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,169,266,217.5,Kensho,Washington,Cambridge,0,7,0,0,0,0,0,0,1
53,Enterprise Software & Network Solutions,Senior Data Scientist,4.1,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,169,266,217.5,HealthEdge Software,Burlington,Burlington,1,16,1,0,1,0,1,0,1
54,Biotech & Pharmaceuticals,Data Scientist,3.4,Unknown / Non-Applicable,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,0,0,169,266,217.5,Concerto HealthAI,New York,Boston,0,2,1,0,1,0,0,1,1
55,Computer Hardware & Software,Lead Data Scientist,4.1,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,169,266,217.5,Woebot,San Francisco,San Francisco,1,3,0,0,0,0,0,1,1
56,Computer Hardware & Software,Data Science Intern,4.5,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,169,266,217.5,"Fullpower Technologies, Inc.",Santa Cruz,Santa Cruz,1,17,1,0,0,0,0,0,1
